battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
21,True,Nicki,Draco,Bernard,Shimitae,Lushen,None,Lushen,Shimitae,Lushen,Okeanos,Barbara,Seara,Molly,Miho,Okeanos,None,Seara,Miho,2021-01-07 04:35:12,FlagBearer,Dilmaxd
22,True,Nicki,Draco,Bernard,Shimitae,Garo,None,Garo,Shimitae,Garo,Seara,Barbara,Tablo,Leo,Magnum,Seara,None,Tablo,Magnum,2021-01-08 09:16:42,FlagBearer,xᴀɴᴀx
23,True,Nicki,Bernard,Shimitae,Garo,Draco,None,Garo,Shimitae,Draco,Okeanos,Chiwu,Barbara,Psamathe,Leo,Okeanos,None,Psamathe,Leo,2021-01-08 09:14:13,FlagBearer,#미업
24,True,Draco,Bernard,Shimitae,Psamathe,Nicki,Nicki,None,Psamathe,Nicki,Okeanos,Ganymede,Chiwu,Barbara,Diana,None,Diana,Chiwu,Diana,2021-01-08 09:12:20,FlagBearer,#미업
25,True,Nicki,Draco,Bernard,Lushen,Julie,Nicki,None,Bernard,Julie,Okeanos,Triana,Velajuel,Taranys,Leo,None,Leo,Velajuel,Leo,2021-01-08 09:10:37,FlagBearer,Turtle™
26,False,Nicki,Draco,Bernard,Shimitae,Julie,None,Julie,Shimitae,Julie,Okeanos,Chiwu,Cheongpung,Juno,Bellenus,Okeanos,None,Chiwu,Bellenus,2021-01-08 09:06:42,FlagBearer,ミル☻ミル®
27,False,Nicki,Draco,Bernard,Julie,Lushen,Nicki,None,Nicki,Lushen,Velajuel,Wedjat,FengYan,Diana,Taranys,None,Diana,Wedjat,Taranys,2021-01-08 09:04:11,FlagBearer,삞댥챦
28,True,Nicki,Vigor,Daphnis,Garo,Draco,None,Draco,Daphnis,Draco,Ragdoll,Fran,Rica,Nephthys,Cheongpung,Ragdoll,None,Nephthys,Cheongpung,2021-01-08 09:02:36,FlagBearer,오드나
29,False,Draco,Bernard,Lushen,Julie,Nicki,Nicki,None,Bernard,Nicki,Fran,Triana,Diana,Nigong,Ragdoll,None,Nigong,Nigong,Ragdoll,2021-01-08 08:58:06,FlagBearer,오드나
30,False,Draco,Bernard,Lushen,Julie,Nicki,None,Julie,Bernard,Nicki,FengYan,Juno,Triana,Daphnis,Eladriel,FengYan,None,Daphnis,Eladriel,2021-01-08 08:55:16,FlagBearer,射杀渣女丶
31,True,Draco,Nicki,Shimitae,Daphnis,Bernard,None,Daphnis,Shimitae,Bernard,Okeanos,Seara,Bastet,Verdehile,Leo,Okeanos,None,Seara,Leo,2021-01-08 08:44:26,FlagBearer,|GROOT|
32,True,Nicki,Bernard,Draco,Julie,Lushen,Nicki,None,Nicki,Lushen,Fran,XingZhe,Praha,Wedjat,Ragdoll,None,Wedjat,Wedjat,Ragdoll,2021-01-08 06:18:58,FlagBearer,貝柱太郎
33,True,Nicki,Draco,Bernard,Shimitae,Garo,Nicki,None,Shimitae,Garo,Chiwu,Triton,Ganymede,Cheongpung,Seara,None,Cheongpung,Chiwu,Seara,2021-01-08 06:16:00,FlagBearer,HardLog
34,True,Nicki,Draco,Bernard,Julie,Lushen,None,Julie,Nicki,Lushen,Molly,XingZhe,Jager,Perna,Taranys,Molly,None,XingZhe,Taranys,2021-01-08 06:13:36,FlagBearer,疯了神都拦不住
35,True,Nicki,Draco,Bernard,Julie,Lushen,Nicki,None,Nicki,Lushen,Molly,Fran,XingZhe,Leo,Moore/WaterRYU,None,Leo,XingZhe,Moore/WaterRYU,2021-01-08 05:01:11,FlagBearer, 아리 
36,True,Nicki,Okeanos,Miho,Vigor,Daphnis,Nicki,None,Okeanos,Daphnis,Molly,Josephine,Iris,Ethna,Diana,None,Ethna,Josephine,Diana,2021-01-08 04:59:14,FlagBearer,AaronLe
37,False,Nicki,Draco,Bernard,Shimitae,Garo,None,Garo,Shimitae,Garo,Okeanos,Seara,Chiwu,Savannah,Woonsa,Okeanos,None,Seara,Woonsa,2021-01-09 00:52:35,FlagBearer,Valhh
38,True,Nicki,Bernard,Shimitae,Garo,Draco,Nicki,None,Shimitae,Draco,Bastet,Chiwu,Savannah,Lushen,Psamathe,None,Lushen,Chiwu,Psamathe,2021-01-09 00:50:09,FlagBearer,りゅうとRK
39,False,Nicki,Vigor,Okeanos,Daphnis,Verdehile,Nicki,None,Daphnis,Verdehile,Vanessa,Eshir,Juno,Savannah,Sekhmet,None,Sekhmet,Vanessa,Sekhmet,2021-01-09 00:48:12,FlagBearer,LeMambo
40,True,Nicki,Draco,Bernard,Julie,Lushen,None,Lushen,Nicki,Lushen,Vanessa,Harmonia,Diana,FengYan,Bastet,Bastet,None,Vanessa,Bastet,2021-01-09 00:46:02,FlagBearer,欧阳乘风
41,False,Nicki,Draco,Daphnis,Vigor,Miho,None,Miho,Daphnis,Miho,Okeanos,Molly,Psamathe,Chow,Ragdoll,Okeanos,None,Psamathe,Ragdoll,2021-01-09 00:43:50,FlagBearer,呆橘不发呆
42,True,Draco,Bernard,Shimitae,Psamathe,Nicki,Nicki,None,Psamathe,Nicki,Okeanos,Ethna,Seara,Vigor,Triana,None,Triana,Seara,Triana,2021-01-09 00:38:23,FlagBearer,Hughedingo
43,True,Nicki,Draco,Bernard,Julie,Lushen,Nicki,None,Nicki,Lushen,Asima,Tiana,Douglas/FireRYU1,Molly,Leo,None,Leo,Tiana,Leo,2021-01-09 00:33:53,FlagBearer,Sâm???
44,True,Okeanos,Nicki,Vigor,Rica,Verdehile,Okeanos,None,Okeanos,Verdehile,Vanessa,Giana,Seara,Triton,Verad,None,Verad,Vanessa,Verad,2021-01-09 00:10:59,FlagBearer,Seiishizo
45,False,Nicki,Draco,Shimitae,Bernard,Miho,None,Miho,Shimitae,Miho,Okeanos,Vanessa,Leo,Verdehile,Giana,Okeanos,None,Vanessa,Giana,2021-01-09 00:07:02,FlagBearer,Seiishizo
46,True,Nicki,Draco,Bernard,Julie,Lushen,Nicki,None,Nicki,Lushen,Pater,Craka,Lydia,Rahul,Ragdoll,None,Rahul,Craka,Ragdoll,2021-01-09 10:24:05,FlagBearer,Kenballer
47,True,Nicki,Bernard,Draco,Shimitae,Garo,Nicki,None,Shimitae,Garo,Seara,Giana,Vanessa,Elucia,Hwadam,None,Hwadam,Vanessa,Hwadam,2021-01-09 10:21:09,FlagBearer,那些你冒险的梦
48,False,Nicki,Draco,Bernard,Lushen,Shimitae,None,Lushen,Bernard,Shimitae,Okeanos,Chiwu,Giana,Triana,Psamathe,Okeanos,None,Chiwu,Psamathe,2021-01-10 00:50:01,FlagBearer,OTPit
49,False,Nicki,Draco,Bernard,Julie,Lushen,None,Julie,Nicki,Lushen,Molly,Vigor,Juno,Akroma,Moore/WaterRYU1,Molly,None,Akroma,Moore/WaterRYU1,2021-01-10 00:47:15,FlagBearer,~luckyme~
50,True,Nicki,Draco,Bernard,Julie,Lushen,None,Julie,Nicki,Lushen,Giana,Molly,Lydia,Jager,Ragdoll,Giana,None,Jager,Ragdoll,2021-01-10 00:45:01,FlagBearer,杰咪爸
51,False,Nicki,Draco,Bernard,Julie,Lushen,Nicki,None,Nicki,Lushen,Vigor,Tetra,Antares,Leo,TianLang,None,Leo,Leo,TianLang,2021-01-10 00:43:05,FlagBearer,로키_
52,True,Nicki,Draco,Bernard,Shimitae,Garo,Nicki,None,Shimitae,Garo,Okeanos,Ganymede,Chiwu,Triton,Vanessa,None,Triton,Chiwu,Vanessa,2021-01-10 00:41:05,FlagBearer,삞돮줦
53,False,Nicki,Vigor,Daphnis,Triana,Okeanos,Nicki,None,Daphnis,Okeanos,Molly,Taranys,MoLong,Illiana,Beelzebub,None,Beelzebub,MoLong,Beelzebub,2021-01-10 00:38:02,FlagBearer,アイアム貝
54,False,Nicki,Draco,Bernard,Shimitae,Psamathe,None,Psamathe,Shimitae,Psamathe,Chiwu,Bastet,Poseidon,Vanessa,Diana,Chiwu,None,Vanessa,Diana,2021-01-10 00:34:03,FlagBearer,りんちゃん09
